txid;index;created_block;value;fanin;fanout;fanout_share;total_value;spent_block;life;label
f8155d70c39f5ab855cdaa46f1e1890633ec7ea7d505b30b0ebad158c8b0c5bc;0;553150;0.00068408;1;2;0.17198353777035846;0.00397759;643520;90370;1
ad6f8bd60c0dc1133db5fa5988ec43ad3087b79c4d8943aa2e190d0efd1feca9;1;643500;2.2435114;1;2;0.947631645071053;2.3674931200000002;643501;1;0
9d9958be53472e4be73954bd8de562eb1ef995ccc540266473d96c0c9ba58e18;1;643402;0.00199203;1;2;0.5612000259184864;0.00354959;643520;118;0
862ef8848252d585ecb4dd6a923c8eeeb57d06fc79c3dfa1cadc20fb435cef36;1;643440;0.13054108;4;2;0.9882769699378988;0.13208957000000002;643511;71;0
258b30749c2d119767ee7c24c080b8fd23577d71fa1344bf24b9e41e303c51b5;1096;643480;0.00124952;1;1737;0.00026056614300605724;4.795404289999999;643514;34;0
fe1a743967b4f096513fb9cecfa524de2c1f6a50e0ec53741f57fa3ec72b9db5;0;643393;0.00807045;2;2;0.0023005381776184113;3.50807045;643504;111;0
5888ac025d267e02751501d9f2ce0e72e858b690be2e585e174acc148cb1eec3;24;581705;0.00276478;11;201;0.0022743526126255257;1.21563384;643497;61792;1
afe39fb38c1766fb11235c6fbf1fd5200f1782d152a726b18e45e2f3278ae62a;9;643398;0.00626424;1;24;5.2734219619321956e-05;118.78890112;643504;106;0
ce10a8d875af73c2adee40736569018794b7c12a5465596a1e4aa46a39c0e7a7;2;643510;0.0471257;1;4;0.021427625768985145;2.1992963899999998;643512;2;0
6c6bf8b90a67e6f53c9ba5cf4b623b04209caaf061d9fb1412f3f3da2b18ee07;1;643498;0.03147124;2;2;0.7846180043166002;0.040110269999999996;643513;15;0
d0ff1baec155c0391dbc9e0021afbe95bd10c84bca46ae68a07477ddb7e699a5;1;551345;0.00347419;1;2;0.23246270529235236;0.01494515;643508;92163;1
93921b53fb0766382ae1c4d65cebaebbf77ed103cc11ae6546f57e08f37e8e02;1;643512;0.30318198;2;2;0.7606006995333267;0.39860860000000004;643514;2;0
caa0f5533a2e7e3555bfc61108c6a096df60da12ec1cd4d80ac2457161b08545;15;643375;0.00166;1;46;0.0013131186158160373;1.2641660700000001;643518;143;0
a373b4caac5480dab3c5ab222ddb456baba23e615658d7a724bb80c7f0048804;16;643508;0.0026419;1;43;0.0025520998249224163;1.03518678;643509;1;0
41e38c5b8e23c58c1f6e4be5d40871b63aaa5e626a1027f861bdb5cadb5de1a6;62;643500;0.06389332;49;78;0.008781745970201716;7.275696679999999;643520;20;0
93b0263a75746793c36ba7913ad656ad9e39e213f393a2ecfb69214af2d39cb7;60;587370;7.02166557;1;101;0.02482582250621081;282.83717763000004;643511;56141;1
6f06d69f1b6ced9dfbb18bf33919b2bf1a948e9b854e2096d8befcb6a14b2602;1;557352;0.0269056;1;2;0.7264207411783224;0.037038589999999996;643517;86165;1
8a7630f6c3f51af269d2122b4a66cea948d6b405317529980c21dd00d06f8cab;65;556472;0.05176878;7;977;0.0007395576200288996;69.99965735999994;643519;87047;1
2e58dad778d5c0ca09dbeef089e0ee0ab9bbf40f9f8e07fc12afd67cfb043fe8;99;500840;0.00305108;1;148;8.831464666407116e-05;34.547836800000056;643501;142661;1
7d6e1135c9651628fad6614fe4176b1eb7c8c80c5febfadf73d9a7562fdc9fe7;0;575858;0.00866083;1;2;0.13837660809444752;0.06258883;643520;67662;1
919ab696c1d9b3c00d319d7d0b0ae3d1ed7a65fe7da0526b3ce514b51d4c230d;2;643500;0.1023825;1;3;0.9999466734174605;0.10238796;643500;0;0
